PLAYERID,LASTNAME,FIRSTNAME,TEAM,UNIFORM,HEIGHT,HANDSIZE,ARMLENGTH,WEIGHT,BIRTHMONTH,BIRTHDAY,BIRTHYEAR,BIRTHCITY,CITYID,COLLEGE,COLLEGEID,YEARENTRY,ROUNDDRAFTED,SELECTIONDRAFTED,SUPPLEMENTAL,ORIGINALTEAM,EXPERIENCE,YEARSIGNED,PLAYPERCENTAGE,HALLOFFAMEPOINTS,SALARYYEARS,SALARYYEAR1,BONUSYEAR1,SALARYYEAR2,BONUSYEAR2,SALARYYEAR3,BONUSYEAR3,SALARYYEAR4,BONUSYEAR4,SALARYYEAR5,BONUSYEAR5,OVERALLRATING,TOUCH,QUALITY,ARM_STRENGTH,SCRAMBLE,DECISIONS,ACCURACY,TIMING,SENSE_RUSH,READ_DEFENSE,TWO_MINUTE,FOOTWORK,IMPROVISATION,CONFIDENCE,SKILL_SPEED,HOLE_RECOGNITION,SECURE_HANDLING,BASE_YEAR
510,McKee,Tanner,4,19,782,93,327,231,4,27,1975,Irvine_CA,1509,Stanford,49,1998,6,188,0,4,0,1998,0,0,4,17,1,24,1,32,1,45,1,0,0,1,-1,-1,-1,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
511,Hurts,Jalen,4,1,730,96,316,223,8,7,1973,Houston_TX,18061,Oklahoma,39,1995,2,53,0,4,3,1995,87,200,5,33,120,41,290,53,480,58,713,148,921,6,-1,-1,-1,205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
512,Mariota,Marcus,4,8,756,97,320,222,10,30,1968,Honolulu_HI,3529,Oregon,41,1990,0,0,0,0,8,1998,74,100,1,48,18,0,0,0,0,0,0,0,0,1,-1,-1,-1,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
513,Rudolph,Mason,5,2,765,91,323,235,7,17,1970,Rock Hill_SC,16875,Oklahoma State,40,1993,3,76,0,5,4,1993,0,0,1,39,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
514,Trubisky,Mitch,5,10,741,94,320,222,8,20,1969,Mentor_OH,14371,North Carolina,34,1992,1,2,0,7,6,1997,31,0,3,39,115,50,54,55,54,0,0,0,0,1,-1,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
515,Pickett,Kenny,5,8,752,84,307,217,6,6,1973,Oakhurst_NJ,12335,Pittsburgh,44,1997,1,20,0,5,1,1997,69,0,3,28,43,49,43,105,43,0,0,0,0,2,-1,-1,-1,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
516,Howell,Sam,6,14,725,91,306,218,9,16,1975,Waynesville_NC,11309,North Carolina,34,1997,5,144,0,6,1,1997,5,0,3,22,2,34,2,46,2,0,0,0,0,1,-1,-1,-1,141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
517,Fromm,Jake,6,11,737,87,311,219,7,30,1973,Warner Robins_GA,3480,Georgia,14,1995,0,0,0,0,2,1998,0,0,1,28,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
518,Brissett,Jacoby,6,12,756,96,322,236,12,11,1967,West Palm Beach_FL,2980,North Carolina State,35,1991,3,91,0,2,7,1998,67,100,1,94,105,0,0,0,0,0,0,0,0,2,-1,-1,-1,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
519,Bagent,Tyson,7,17,751,94,301,213,6,8,1975,Martinsburg_WV,20788,Shepherd,376,1998,0,0,0,7,0,1998,0,0,3,17,1,24,1,32,1,0,0,0,0,1,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
520,Peterman,Nathan,7,14,745,97,320,225,5,4,1969,Jacksonville_FL,2767,Pittsburgh,44,1992,0,0,0,0,6,1997,5,0,1,39,4,0,0,0,0,0,0,0,0,0,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
521,Fields,Justin,7,1,746,91,324,228,3,5,1974,Kennesaw_GA,3240,Ohio State,38,1996,1,11,0,7,2,1996,88,0,2,56,65,76,65,0,0,0,0,0,0,1,-1,-1,-1,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
522,Thompson-Robinson,Dorian,8,17,735,97,305,203,11,14,1974,Columbia_SC,16700,UCLA,56,1998,5,140,0,8,0,1998,0,0,4,17,2,24,2,32,2,45,2,0,0,1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
523,Watson,Deshaun,8,4,741,96,330,221,9,14,1970,Gainesville_GA,3183,Clemson,9,1992,0,0,0,0,6,1997,33,400,4,39,419,250,419,250,419,250,419,0,0,3,-1,-1,-1,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
524,Walker,P.J.,8,10,712,91,313,199,2,26,1970,Elizabeth_NJ,12130,Temple,119,1992,0,0,0,0,3,1998,26,0,2,35,12,47,12,0,0,0,0,0,0,1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
525,Hooker,Hendon,9,12,752,104,330,217,1,13,1973,Greensboro_NC,10957,Tennessee,51,1998,3,68,0,9,0,1998,0,0,4,17,7,31,7,40,7,54,7,0,0,1,-1,-1,-1,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
526,Blough,David,9,18,722,93,295,205,7,31,1970,Carrollton_TX,17776,Purdue,45,1994,0,0,0,8,4,1998,9,0,1,41,2,0,0,0,0,0,0,0,0,0,-1,-1,-1,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
527,Sudfeld,Nate,9,7,781,97,342,236,10,7,1968,Modesto_CA,1655,Indiana,17,1991,6,187,0,6,6,1998,1,0,1,48,11,0,0,0,0,0,0,0,0,0,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
528,Bridgewater,Teddy,9,10,741,92,330,214,11,10,1967,Miami_FL,2830,Louisville,24,1989,0,0,0,0,9,1998,14,100,1,50,12,0,0,0,0,0,0,0,0,1,-1,-1,-1,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
529,Goff,Jared,9,16,760,90,326,215,10,14,1969,Novato_CA,1708,California,8,1991,1,1,0,10,7,1996,99,600,2,142,117,145,117,0,0,0,0,0,0,5,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
530,Bennett,Stetson,10,13,713,100,287,192,10,28,1972,Atlanta_GA,3023,Georgia,14,1998,4,128,0,10,0,1998,0,0,4,17,4,24,4,32,4,45,4,0,0,1,-1,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
531,Rypien,Brett,10,11,736,90,303,202,7,9,1971,Spokane_WA,19884,Boise State,73,1994,0,0,0,0,3,1998,16,0,1,34,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
532,Stafford,Matthew,10,9,742,100,332,230,2,7,1963,Tampa_FL,2957,Georgia,14,1984,1,1,0,9,14,1996,52,1600,4,60,432,723,432,746,432,723,432,0,0,3,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
533,Purdy,Brock,11,13,725,92,290,212,12,27,1974,Queen Creek_AZ,1067,Iowa State,19,1997,7,262,0,11,1,1997,34,100,3,22,1,34,1,46,1,0,0,0,0,4,-1,-1,-1,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
534,Allen,Brandon,11,17,733,87,312,212,9,5,1967,Fayetteville_AR,655,Arkansas,4,1991,0,0,0,0,4,1998,2,0,1,43,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
535,Darnold,Sam,11,14,753,93,310,221,6,5,1972,Dana Point_CA,1341,Southern California,48,1993,0,0,0,0,5,1998,37,0,1,83,35,0,0,0,0,0,0,0,0,1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
536,Oladokun,Chris,12,13,74,0,0,195,9,3,1972,Tampa_FL,2957,South Dakota State,227,1997,7,241,0,5,0,1997,0,0,1,17,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
537,Gabbert,Blaine,12,9,763,100,330,234,10,15,1964,Ballwin_MO,9605,Missouri,32,1986,0,0,0,0,12,1998,1,0,1,55,4,0,0,0,0,0,0,0,0,0,-1,-1,-1,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
538,Mahomes,Patrick,12,15,741,92,332,225,9,17,1970,Tyler_TX,18585,Texas Tech,55,1992,1,10,0,12,6,1992,98,1500,5,722,204,885,204,978,157,978,56,1398,56,8,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
539,McCoy,Colt,0,-1,731,93,310,214,9,5,1961,Hobbs_NM,12582,Texas,52,1985,3,85,0,8,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
540,Barkley,Matt,0,-1,744,101,305,227,9,8,1965,Newport Beach_CA,1693,Southern California,48,1988,4,98,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
541,Siemian,Trevor,0,-1,747,97,305,213,12,26,1966,Starke_FL,2949,Northwestern,36,1990,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
542,Wentz,Carson,0,-1,772,100,332,237,12,30,1967,Raleigh_NC,11173,North Dakota State,206,1991,1,2,0,4,7,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
543,Kizer,DeShone,0,-1,761,97,331,233,1,3,1971,Toledo_OH,14647,Notre Dame,37,1992,2,52,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
544,Sloter,Kyle,0,-1,77,0,0,211,2,7,1969,Atlanta_GA,3023,Northern Colorado,208,1992,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
545,Webb,Davis,0,-1,765,92,331,229,1,22,1970,Prosper_TX,18385,California,8,1992,3,87,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
546,Lauletta,Kyle,0,-1,745,96,305,222,11,27,1970,Exton_PA,15745,Richmond,217,1993,4,108,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
547,Perez,Luis,0,-1,75,0,0,222,8,26,1969,San Diego_CA,1861,Texas A&M - Commerce,392,1993,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
548,Rosen,Josh,0,-1,760,97,316,226,2,10,1972,Torrance_CA,1986,UCLA,56,1993,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
549,Streveler,Chris,0,-1,735,84,313,216,1,6,1970,Naperville_IL,5000,South Dakota,226,1993,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
550,Hodges,Devlin,0,-1,723,92,301,210,4,12,1971,Kimberly_AL,325,Samford,223,1994,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
551,McSorley,Trace,0,-1,721,91,310,202,8,23,1970,Ashburn_VA,18847,Penn State,43,1994,6,197,0,1,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
552,Ta'amu,Jordan,0,-1,745,97,322,214,12,10,1972,Pearl City_HI,3570,Mississippi,30,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
553,Thorson,Clayton,0,-1,760,96,311,225,12,25,1970,Wheaton_IL,5331,Northwestern,36,1994,5,167,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
554,Cookus,Case,0,-1,76,0,0,205,10,6,1970,Thousand Oaks_CA,1980,Northern Arizona,207,1995,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
555,Eason,Jacob,0,-1,777,94,327,231,11,17,1972,Lake Stevens_WA,19747,Washington,62,1995,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
556,Luton,Jake,0,-1,781,103,316,224,4,11,1971,Marysville_WA,19771,Oregon State,42,1995,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
557,Morgan,James,0,-1,760,96,333,213,2,28,1972,Green Bay_WI,20173,Florida International,87,1995,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
558,Perkins,Bryce,0,-1,75,0,0,215,12,20,1971,Chandler_AZ,955,Virginia,59,1995,0,0,0,10,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
559,Sinnett,Reid,0,-1,76,0,0,225,2,5,1972,Johnston_IA,3862,San Diego,224,1995,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
560,Book,Ian,0,-1,720,97,312,206,3,30,1973,El Dorado Hills_CA,1375,Notre Dame,37,1996,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
561,Mond,Kellen,0,-1,745,93,334,211,6,22,1974,San Antonio_TX,18456,Texas A&M,53,1996,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
562,Brown,Anthony,0,-1,733,97,324,217,7,27,1973,Matawan_NJ,12270,Oregon,41,1997,0,0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
563,Cheek,Davis,0,-1,75,0,0,217,2,26,1974,Matthews_NC,11076,Elon,163,1997,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
564,Coan,Jack,0,-1,752,94,311,218,12,8,1973,Sayville_NY,13706,Notre Dame,37,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
565,Crum,Dustin,0,-1,730,93,316,210,1,5,1974,Grafton_OH,14211,Kent State,94,1997,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
566,Garbers,Chase,0,-1,74,0,0,215,6,6,1974,Newport Beach_CA,1693,California,8,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
567,Guarantano,Jarrett,0,-1,76,0,0,220,11,14,1972,Lodi_NJ,12247,Washington State,63,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
568,Kelley,Cole,0,-1,793,97,336,249,10,27,1972,Lafayette_LA,6996,Southeastern Louisiana,229,1997,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
569,King,D'Eriq,0,-1,69,92,287,196,8,24,1972,Manvel_TX,18210,Miami (FL),26,1997,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
570,Perry,E.J.,0,-1,735,90,320,211,8,16,1973,Andover_MA,7183,Brown,139,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
571,Peters,Brandon,0,-1,76,0,0,228,10,15,1972,Avon_IN,5385,Illinois,16,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
572,Plitt,Drew,0,-1,74,0,0,206,1,9,1973,Loveland_OH,14325,Ball State,72,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
573,Blackman,James,0,-1,772,94,330,189,11,14,1973,Belle Glade_FL,2620,Arkansas State,70,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
574,Bonner,Logan,0,-1,721,0,0,236,9,24,1972,Dallas_TX,17861,Utah State,127,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
575,Centeio,Todd,0,-1,717,87,315,221,9,7,1973,Pembroke Pines_FL,2895,James Madison,182,1998,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
576,DeMorat,TIm,0,-1,754,94,314,219,10,18,1974,Merritt Island_FL,2828,Fordham,165,1998,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
577,Henderson,Nolan,0,-1,730,0,0,195,6,26,1973,Smyrna_DE,2593,Delaware,155,1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
578,Martinez,Adrian,0,-1,736,95,311,221,12,7,1974,Fresno_CA,1424,Kansas State,21,1998,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
579,Morgan,Tanner,0,-1,723,94,297,204,4,17,1974,Hazard_KY,6517,Minnesota,29,1998,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
580,Winn,Dresser,0,-1,75,0,0,215,11,11,1973,Dresden_TN,17272,Tennessee - Martin,237,1998,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
581,Ahlers,Holton,0,-1,746,96,322,237,11,10,1974,Greenville_NC,10958,East Carolina,84,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
0,Allen,Josh,0,-1,767,101,332,237,5,21,1977,Firebaugh_CA,1405,Wyoming,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,-1,-1,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1999
0,Allen,Kyle,0,-1,752,93,295,210,3,8,1977,Scottsdale_AZ,1090,Houston,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1999
0,Buechele,Shane,0,-1,722,93,302,210,1,8,1976,Arlington_TX,17648,Southern Methodist,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1999
0,Dalton,Andy,0,-1,740,94,316,215,10,29,1975,Katy_TX,18105,Texas Christian,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1999
0,Dobbs,Joshua,0,-1,752,92,325,216,1,26,1976,Alpharetta_GA,3010,Tennessee,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1999
0,Driskel,Jeff,0,-1,760,96,334,234,4,23,1976,Oviedo_FL,2878,Louisiana Tech,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1999
0,Heinicke,Taylor,0,-1,723,92,290,201,3,15,1975,Atlanta_GA,3023,Old Dominion,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1999
0,Murray,Kyler,0,-1,701,94,284,207,8,7,1977,Bedford_TX,17681,Oklahoma,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1999
