PLAYERID,LASTNAME,FIRSTNAME,TEAM,POSITION_KEY,UNIFORM,HEIGHT,HANDSIZE,ARMLENGTH,WEIGHT,BIRTHMONTH,BIRTHDAY,BIRTHYEAR,BIRTHCITY,CITYID,COLLEGE,COLLEGEID,YEARENTRY,ROUNDDRAFTED,SELECTIONDRAFTED,SUPPLEMENTAL,ORIGINALTEAM,EXPERIENCE,YEARSIGNED,PLAYPERCENTAGE,HALLOFFAMEPOINTS,SALARYYEARS,SALARYYEAR1,BONUSYEAR1,SALARYYEAR2,BONUSYEAR2,SALARYYEAR3,BONUSYEAR3,SALARYYEAR4,BONUSYEAR4,SALARYYEAR5,BONUSYEAR5,OVERALLRATING,SKILL_SPEED,SKILL_POWER,HOLE_RECOGNITION,ELUSIVENESS,BLITZ_PICKUP,CATCH_HANDS,ADJUST_TO_BALL,ROUTE_RUNNING,CATCH_IN_TRAFFIC,DEFEAT_BLOCKERS,SECURE_HANDLING,RUN_BLOCK_TECHNIQUE,PASS_BLOCK_TECHNIQUE,BLOCKING_STRENGTH,SCHEME_ACQUISITION,PUNT_DISTANCE,PUNT_HANG_TIME,PUNT_DIRECTIONAL,KICKOFF_HANG_TIME,FIELD_GOAL_ACCURACY,FIELD_GOAL_DISTANCE,RUN_DEFENSE,PASS_RUSH_TECHNIQUE,PASS_RUSH_STRENGTH,PASS_DEFENSE_MAN,PASS_DEFENSE_PHYSICAL,PASS_DEFENSE_ZONE,PASS_DEFENSE_HANDS,DEFENSIVE_DIAGNOSIS,SPECIAL_TEAMS,PUNT_RETURNS,KICK_RETURNS,LONG_SNAPPING,KICK_HOLDING,ENDURANCE,BASE_YEAR
1011,Beasley,Cole,3,6,14,68,0,0,177,4,26,1964,Little Elm_TX,18175,Southern Methodist,117,1987,0,0,0,0,11,1998,2,0,1,55,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1012,Cox,Fletcher,4,15,91,76,0,0,298,12,13,1965,Yazoo City_MS,10570,Mississippi State,31,1987,1,12,0,4,11,1987,64,0,1,65,82,0,0,0,0,0,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1013,Gipson,Tashaun,11,27,31,71,0,0,205,8,7,1965,Dallas_TX,17861,Wyoming,130,1987,0,0,0,8,11,1997,97,0,1,78,4,0,0,0,0,0,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1014,Jones,Marvin,9,5,0,74,0,0,198,3,12,1965,Los Angeles_CA,1594,California,8,1987,0,0,0,0,11,1998,63,0,1,62,15,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1015,Kelly,Dennis,0,7,-1,80,0,0,308,1,16,1965,Chicago Heights_IL,4553,Purdue,45,1987,5,153,0,4,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1016,McLeod,Rodney,8,27,26,70,0,0,184,6,23,1965,Hyattsville_MD,7744,Virginia,59,1987,0,0,0,10,11,1998,91,400,1,55,3,0,0,0,0,0,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1017,Reiff,Riley,2,7,74,78,0,0,311,12,1,1963,Parkston_SD,17082,Iowa,18,1987,1,23,0,9,11,1998,52,0,1,92,53,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1018,Tucker,Justin,1,13,9,73,0,0,180,11,21,1964,Houston_TX,18061,Texas,52,1987,0,0,0,1,11,1987,100,900,5,57,92,132,44,154,44,154,44,185,24,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1019,Zeitler,Kevin,1,10,70,76,0,0,314,3,8,1965,Waukesha_WI,20519,Wisconsin,65,1987,0,0,0,0,11,1996,87,0,1,55,78,0,0,0,0,0,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1020,Goodwin,Marquise,8,5,3,69,0,0,181,11,19,1965,Lubbock_TX,18196,Texas,52,1988,0,0,0,0,9,1998,38,0,1,56,5,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1021,Hopkins,Dustin,8,13,7,74,0,0,193,10,1,1965,Austin_TX,17657,Florida State,13,1988,0,0,0,0,9,1998,27,0,2,82,0,117,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1022,Johnson,Lane,4,11,65,78,0,0,305,5,8,1965,Groveton_TX,18011,Oklahoma,39,1988,1,4,0,4,10,1988,82,1000,5,55,263,64,284,66,312,67,336,65,291,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1023,Juszczyk,Kyle,11,3,44,73,0,0,247,4,23,1966,Medina_OH,14368,Harvard,171,1988,4,130,0,1,10,1992,48,700,3,167,26,204,26,204,26,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1024,Kelce,Travis,12,4,87,77,0,0,256,10,5,1964,Beachwood_OH,13994,Cincinnati,80,1988,3,63,0,12,10,1988,79,1800,3,248,49,304,49,367,49,0,0,0,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1025,Klein,A.J.,0,19,-1,73,0,0,247,7,30,1966,Appleton_WI,19961,Iowa State,19,1988,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1026,Maher,Brett,10,13,8,72,0,0,180,11,21,1964,Kearney_NE,11650,Nebraska,33,1988,0,0,0,0,5,1998,87,0,1,39,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1027,Quessenberry,David,0,7,-1,77,0,0,303,8,24,1965,Del Mar_CA,1344,San Jose State,114,1988,0,0,0,0,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1028,Slay,Darius,4,24,2,72,0,0,190,1,1,1966,Brunswick_GA,3062,Mississippi State,31,1988,2,36,0,9,10,1995,90,1000,3,55,206,56,190,62,252,0,0,0,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1029,Way,Tress,6,12,5,73,0,0,215,4,18,1965,Tulsa_OK,15105,Oklahoma,39,1988,0,0,0,7,9,1991,100,200,2,99,12,120,12,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1030,Andrews,Josh,0,9,-1,74,0,0,311,6,21,1966,Los Angeles_CA,1594,Oregon State,42,1989,0,0,0,4,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1031,Bitonio,Joel,8,8,75,76,0,0,302,10,11,1966,Rancho Palos Verdes_CA,1809,Nevada,104,1989,2,35,0,8,9,1989,100,900,3,48,108,349,108,334,108,0,0,0,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1032,Boswell,Chris,5,13,9,74,0,0,185,3,16,1966,Fort Worth_TX,17954,Rice,112,1989,0,0,0,0,8,1990,60,0,4,132,31,106,31,119,31,122,31,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1033,Clowney,Jadeveon,1,22,24,77,0,0,266,2,14,1968,Rock Hill_SC,16875,South Carolina,47,1989,0,0,0,0,8,1998,45,0,1,48,26,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1034,Donald,Aaron,10,18,99,73,0,0,285,5,23,1966,Pittsburgh_PA,16249,Pittsburgh,44,1989,1,13,0,10,9,1989,57,1800,2,242,242,334,371,0,0,0,0,0,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1035,Ellis,Justin,0,16,-1,74,0,0,334,12,27,1965,Monroe_LA,7037,Louisiana Tech,97,1989,0,0,0,0,9,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1036,Ferentz,James,2,9,65,74,0,0,287,6,5,1964,Iowa City_IA,3854,Iowa,18,1989,0,0,0,0,6,1992,26,0,1,43,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1037,Harris,Shelby,8,17,93,74,0,0,288,8,11,1966,Mequon_WI,20290,Illinois State,176,1989,0,0,0,0,8,1998,49,0,1,92,14,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1038,Hyder,Kerry,11,14,92,74,0,0,290,5,2,1966,Austin_TX,17657,Texas Tech,55,1989,0,0,0,0,6,1997,34,0,1,39,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1039,Larsen,Tyler,6,9,69,76,0,0,313,7,8,1966,Salt Lake City_UT,18799,Utah State,127,1989,0,0,0,0,7,1996,45,0,1,48,3,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1040,Leno,Charles,6,7,72,76,0,0,302,10,9,1966,Oakland_CA,1715,Boise State,73,1989,7,246,0,7,9,1996,100,200,2,210,43,290,43,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1041,Lucas,Cornelius,6,7,78,81,0,0,322,7,18,1966,New Orleans_LA,7053,Kansas State,21,1989,0,0,0,9,8,1995,56,0,1,115,18,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1042,McKinnon,Jerick,12,2,1,69,0,0,208,5,3,1967,Atlanta_GA,3023,Georgia Southern,89,1989,0,0,0,0,9,1996,46,0,1,48,3,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1043,Moses,Morgan,1,11,78,78,0,0,314,3,3,1966,Richmond_VA,19269,Virginia,59,1989,3,66,0,6,9,1997,93,0,2,131,29,194,29,0,0,0,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1044,Obada,Efe,6,18,97,78,0,0,255,4,13,1967,Lagos_Nigeria,40175,No College,0,1989,0,0,0,0,5,1997,37,0,1,54,9,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1045,O'Donnell,Pat,0,12,-1,76,0,0,220,2,22,1966,Lake Worth_FL,2792,Miami (FL),26,1989,6,191,0,7,9,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1046,Phillips,Adrian,2,27,21,71,0,0,202,3,28,1967,Dallas_TX,17861,Texas,52,1989,0,0,0,0,8,1995,62,0,2,112,23,102,23,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1047,Robinson,Allen,5,6,11,75,0,0,219,8,24,1968,Detroit_MI,8418,Penn State,43,1989,0,0,0,0,9,1998,55,0,2,48,37,345,37,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1048,Roby,Bradley,0,24,-1,71,0,0,194,5,1,1967,Fort Worth_TX,17954,Ohio State,38,1989,0,0,0,0,9,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1049,Santos,Cairo,7,13,8,68,0,0,162,11,12,1966,Sao Paulo_Brazil,40128,Tulane,125,1989,0,0,0,12,8,1995,63,0,1,131,9,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1050,Snead,Willie,11,5,83,71,0,0,195,10,17,1967,Winter Park_FL,2990,Ball State,72,1989,0,0,0,8,7,1997,3,0,1,53,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1051,Thomas,Logan,6,4,82,78,0,0,248,7,1,1966,Lynchburg_VA,19148,Virginia Tech,60,1989,0,0,0,0,8,1995,58,0,2,176,34,197,34,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1052,Urban,Brent,1,14,97,79,0,0,295,5,5,1966,Brampton_ON,30702,Virginia,59,1989,4,134,0,1,9,1997,27,0,1,48,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1053,Williams,Damien,0,2,-1,71,0,0,220,4,3,1967,San Diego_CA,1861,Oklahoma,39,1989,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1054,Agholor,Nelson,1,5,15,72,0,0,198,5,24,1968,Lagos_Nigeria,40175,Southern California,48,1990,1,20,0,4,8,1998,45,0,1,48,9,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1055,Alexander,Kwon,5,20,54,73,0,0,227,8,3,1969,Oxford_AL,405,Louisiana State,23,1990,0,0,0,0,8,1998,49,0,1,48,3,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1056,Andrews,David,2,9,60,75,0,0,288,7,10,1967,Duluth_GA,3147,Georgia,14,1990,0,0,0,2,8,1990,76,0,2,157,38,174,38,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1057,Armstead,Arik,11,15,91,79,0,0,292,11,15,1968,Sacramento_CA,1848,Oregon,41,1990,1,17,0,11,8,1990,32,400,2,271,147,348,147,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1058,Bell,Blake,12,4,81,78,0,0,252,8,7,1966,Wichita_KS,6301,Oklahoma,39,1990,4,117,0,11,8,1996,3,0,1,48,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
1059,Brown,Trent,2,7,77,80,0,0,355,4,13,1968,Bastrop_TX,17673,Florida,12,1990,7,244,0,11,8,1996,98,0,1,217,24,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
