PLAYERID,LASTNAME,FIRSTNAME,TEAM,UNIFORM,HEIGHT,HANDSIZE,ARMLENGTH,WEIGHT,BIRTHMONTH,BIRTHDAY,BIRTHYEAR,BIRTHCITY,CITYID,COLLEGE,COLLEGEID,YEARENTRY,ROUNDDRAFTED,SELECTIONDRAFTED,SUPPLEMENTAL,ORIGINALTEAM,EXPERIENCE,YEARSIGNED,PLAYPERCENTAGE,HALLOFFAMEPOINTS,SALARYYEARS,SALARYYEAR1,BONUSYEAR1,SALARYYEAR2,BONUSYEAR2,SALARYYEAR3,BONUSYEAR3,SALARYYEAR4,BONUSYEAR4,SALARYYEAR5,BONUSYEAR5,OVERALLRATING,TOUCH,QUALITY,ARM_STRENGTH,SCRAMBLE,DECISIONS,ACCURACY,TIMING,SENSE_RUSH,READ_DEFENSE,TWO_MINUTE,FOOTWORK,IMPROVISATION,CONFIDENCE,SKILL_SPEED,HOLE_RECOGNITION,SECURE_HANDLING
535,Rush,Cooper,8,10,745,91,323,229,11,21,1993,Charlotte_MI,8362,Central Michigan,78,2017,0,0,0,8,6,2020,29,0,2,150,63,225,63,0,0,0,0,0,0,2,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
536,Sloter,Kyle,0,-1,77,0,0,211,2,7,1994,Atlanta_GA,3023,Northern Colorado,208,2017,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
537,Trubisky,Mitch,23,10,741,94,320,222,8,20,1994,Mentor_OH,14371,North Carolina,34,2017,1,2,0,6,6,2022,31,0,3,108,493,525,231,600,231,0,0,0,0,1,-1,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
538,Walker,P.J.,31,10,712,91,313,199,2,26,1995,Elizabeth_NJ,12130,Temple,119,2017,0,0,0,12,3,2023,26,0,2,116,50,199,50,0,0,0,0,0,0,1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
539,Watson,Deshaun,31,4,741,96,330,221,9,14,1995,Gainesville_GA,3183,Clemson,9,2017,1,12,0,32,6,2022,33,400,4,108,1798,3400,1798,3400,1798,3400,1798,0,0,3,-1,-1,-1,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
540,Webb,Davis,0,-1,765,92,331,229,1,22,1995,Prosper_TX,18385,California,8,2017,3,87,0,19,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
541,Allen,Josh,4,17,767,101,332,237,5,21,1996,Firebaugh_CA,1405,Wyoming,130,2018,1,7,0,4,5,2018,98,600,5,158,1706,3000,1706,3950,1706,3850,1376,4000,528,4,-1,-1,-1,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
542,Allen,Kyle,4,9,752,93,295,210,3,8,1996,Scottsdale_AZ,1090,Houston,92,2018,0,0,0,5,5,2023,12,0,1,113,10,0,0,0,0,0,0,0,0,1,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
543,Boyle,Tim,20,7,754,95,330,230,10,3,1994,Hartford_CT,2412,Eastern Kentucky,161,2018,0,0,0,11,5,2023,1,0,1,116,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
544,Darnold,Sam,26,14,753,93,310,221,6,5,1997,Dana Point_CA,1341,Southern California,48,2018,1,3,0,20,5,2023,37,0,1,355,150,0,0,0,0,0,0,0,0,1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
545,Jackson,Lamar,3,8,742,94,331,216,1,17,1997,Pompano Beach_FL,2905,Louisville,24,2018,1,32,0,3,5,2018,66,600,5,750,1465,1425,1815,2100,2265,5200,2265,5200,2265,4,-1,-1,-1,247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
546,Lauletta,Kyle,0,-1,745,96,305,222,11,27,1995,Exton_PA,15745,Richmond,217,2018,4,108,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
547,Mayfield,Baker,28,6,725,92,302,215,4,14,1995,Austin_TX,17657,Oklahoma,39,2018,1,1,0,31,5,2023,64,100,1,113,58,0,0,0,0,0,0,0,0,2,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
548,McGough,Alex,11,2,753,91,312,214,11,19,1995,Tampa_FL,2957,Florida International,87,2018,7,220,0,25,1,2023,0,0,1,87,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
549,Perez,Luis,0,-1,75,0,0,222,8,26,1994,San Diego_CA,1861,Texas A&M - Commerce,392,2018,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
550,Rosen,Josh,0,-1,760,97,316,226,2,10,1997,Torrance_CA,1986,UCLA,56,2018,1,10,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
551,Rudolph,Mason,23,2,765,91,323,235,7,17,1995,Rock Hill_SC,16875,Oklahoma State,40,2018,3,76,0,23,4,2018,0,0,1,108,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
552,Streveler,Chris,0,-1,735,84,313,216,1,6,1995,Naperville_IL,5000,South Dakota,226,2018,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
553,White,Mike,15,14,765,94,317,224,3,25,1995,Pembroke Pines_FL,2895,Western Kentucky,128,2018,5,171,0,8,2,2023,26,0,2,108,171,350,171,0,0,0,0,0,0,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
554,Wolford,John,28,11,714,95,291,200,10,16,1995,Dallas_TX,17861,Wake Forest,61,2018,0,0,0,20,3,2023,12,0,1,101,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
555,Woodside,Logan,2,11,732,96,310,201,1,27,1995,Frankfort_KY,6474,Toledo,123,2018,7,249,0,7,3,2022,0,0,1,101,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556,Blough,David,10,18,722,93,295,205,7,31,1995,Carrollton_TX,17776,Purdue,45,2019,0,0,0,31,4,2023,9,0,1,116,8,0,0,0,0,0,0,0,0,0,-1,-1,-1,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557,Browning,Jake,7,6,740,90,324,210,4,11,1996,Folsom_CA,1407,Washington,62,2019,0,0,0,16,0,2021,0,0,1,75,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
558,Grier,Will,7,7,744,93,314,217,4,3,1995,Davidson_NC,10878,West Virginia,64,2019,3,100,0,5,4,2023,0,0,1,108,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
559,Hodges,Devlin,0,-1,723,92,301,210,4,12,1996,Kimberly_AL,325,Samford,223,2019,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
560,Jones,Daniel,19,8,771,96,324,221,5,27,1997,Charlotte_NC,10832,Duke,11,2019,1,6,0,19,4,2019,91,100,4,1275,900,3600,900,3050,900,4750,900,0,0,2,-1,-1,-1,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
561,Lock,Drew,25,2,756,90,324,228,11,10,1996,Columbia_MO,9715,Missouri,32,2019,2,42,0,9,4,2022,0,0,1,225,175,0,0,0,0,0,0,0,0,10,-1,-1,-1,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
562,McSorley,Trace,0,-1,721,91,310,202,8,23,1995,Ashburn_VA,18847,Penn State,43,2019,6,197,0,3,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
563,Minshew,Gardner,12,10,727,101,316,225,5,16,1996,Flowood_MS,10330,Washington State,63,2019,6,178,0,13,4,2023,13,0,1,175,175,0,0,0,0,0,0,0,0,1,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
564,Murray,Kyler,1,1,701,94,284,207,8,7,1997,Bedford_TX,17681,Oklahoma,39,2019,1,1,0,1,4,2019,60,100,5,300,1301,3885,1301,3261,1301,4254,1301,3634,720,2,-1,-1,-1,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
565,Rypien,Brett,27,11,736,90,303,202,7,9,1996,Spokane_WA,19884,Boise State,73,2019,0,0,0,9,3,2023,16,0,1,108,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
566,Stick,Easton,24,2,732,92,321,224,9,15,1995,Omaha_NE,11705,North Dakota State,206,2019,5,166,0,24,3,2019,0,0,1,165,15,0,0,0,0,0,0,0,0,10,-1,-1,-1,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
567,Stidham,Jarrett,9,4,743,91,320,215,8,8,1996,Corbin_KY,6404,Auburn,5,2019,4,133,0,17,4,2023,14,0,2,200,100,600,100,0,0,0,0,0,0,1,-1,-1,-1,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
568,Ta'amu,Jordan,0,-1,745,97,322,214,12,10,1997,Pearl City_HI,3570,Mississippi,30,2019,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
569,Thorson,Clayton,0,-1,760,96,311,225,12,25,1995,Wheaton_IL,5331,Northwestern,36,2019,5,167,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
570,Burrow,Joe,7,9,755,90,307,221,12,10,1996,Ames_IA,3603,Louisiana State,23,2020,1,1,0,7,3,2020,98,600,2,555,597,2950,0,0,0,0,0,0,0,6,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
571,Cookus,Case,0,-1,76,0,0,205,10,6,1995,Thousand Oaks_CA,1980,Northern Arizona,207,2020,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
572,DiNucci,Ben,9,11,75,0,0,210,11,24,1996,Atlanta_GA,3023,James Madison,182,2020,7,231,0,8,2,2023,0,0,1,94,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
573,Eason,Jacob,0,-1,777,94,327,231,11,17,1997,Lake Stevens_WA,19747,Washington,62,2020,4,122,0,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
574,Fromm,Jake,30,11,737,87,311,219,7,30,1998,Warner Robins_GA,3480,Georgia,14,2020,5,167,0,4,2,2023,0,0,1,94,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
575,Herbert,Justin,24,10,782,100,327,236,3,10,1998,Eugene_OR,15231,Oregon,41,2020,1,6,0,24,3,2020,97,300,5,101,745,600,1335,1500,2235,2400,2235,3600,2235,5,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
576,Huntley,Tyler,3,2,73,0,0,205,2,3,1998,Hollywood_FL,2750,Utah,57,2020,0,0,0,3,3,2020,25,100,1,263,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
577,Hurts,Jalen,22,1,730,96,316,223,8,7,1998,Houston_TX,18061,Oklahoma,39,2020,2,53,0,22,3,2020,87,200,5,101,514,113,1243,117,2060,122,3056,635,3949,6,-1,-1,-1,205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
578,Love,Jordan,11,10,756,104,325,224,11,2,1998,Bakersfield_CA,1188,Utah State,127,2020,1,26,0,11,2,2020,2,0,2,101,340,600,176,0,0,0,0,0,0,1,-1,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
579,Luton,Jake,0,-1,781,103,316,224,4,11,1996,Marysville_WA,19771,Oregon State,42,2020,6,189,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
580,Morgan,James,0,-1,760,96,333,213,2,28,1997,Green Bay_WI,20173,Florida International,87,2020,4,125,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
581,Perkins,Bryce,0,-1,75,0,0,215,12,20,1996,Chandler_AZ,955,Virginia,59,2020,0,0,0,27,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
582,Sinnett,Reid,0,-1,76,0,0,225,2,5,1997,Johnston_IA,3862,San Diego,224,2020,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
583,Tagovailoa,Tua,15,1,720,100,304,217,3,2,1998,Ewa Beach_HI,3518,Alabama,1,2020,1,5,0,15,3,2020,67,100,2,474,489,2317,0,0,0,0,0,0,0,7,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
584,Book,Ian,0,-1,720,97,312,206,3,30,1998,El Dorado Hills_CA,1375,Notre Dame,37,2021,4,133,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
585,Buechele,Shane,4,6,722,93,302,210,1,8,1998,Arlington_TX,17648,Southern Methodist,117,2021,0,0,0,14,2,2023,0,0,1,94,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
586,Ehlinger,Sam,12,4,731,96,303,222,9,30,1998,Austin_TX,17657,Texas,52,2021,6,218,0,12,2,2021,19,0,2,94,3,106,3,0,0,0,0,0,0,1,-1,-1,-1,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
587,Fields,Justin,6,1,746,91,324,228,3,5,1999,Kennesaw_GA,3240,Ohio State,38,2021,1,11,0,6,2,2021,88,0,2,238,277,323,277,0,0,0,0,0,0,1,-1,-1,-1,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
588,Jones,Mac,17,10,745,96,325,217,9,5,1998,Jacksonville_FL,2767,Alabama,1,2021,1,15,0,17,2,2021,79,0,2,208,217,279,217,0,0,0,0,0,0,2,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
589,Lance,Trey,8,15,757,91,314,224,5,9,2000,Marshall_MN,9324,North Dakota State,206,2021,1,3,0,26,2,2023,8,0,2,376,554,531,554,0,0,0,0,0,0,2,-1,-1,-1,205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
590,Lawrence,Trevor,13,16,775,100,314,213,10,6,1999,Knoxville_TN,17373,Clemson,9,2021,1,1,0,13,2,2021,97,100,2,400,603,568,603,0,0,0,0,0,0,5,-1,-1,-1,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
591,Mills,Davis,32,10,756,94,313,225,10,21,1998,Atlanta_GA,3023,Stanford,49,2021,3,67,0,32,2,2021,80,0,2,113,29,137,29,0,0,0,0,0,0,1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
