SEASON,WEEK,MONTH,DAY,YEAR,HOME,VISITOR,LOCATION
1,15,11,17,2024,24,7,0
1,15,11,17,2024,26,25,0
1,15,11,17,2024,29,16,0
1,15,11,17,2024,8,32,0
1,16,11,24,2024,31,23,0
1,16,11,24,2024,5,14,0
1,16,11,24,2024,6,16,0
1,16,11,24,2024,11,26,0
1,16,11,24,2024,12,10,0
1,16,11,24,2024,15,17,0
1,16,11,24,2024,19,28,0
1,16,11,24,2024,21,9,0
1,16,11,24,2024,25,1,0
1,16,11,24,2024,27,22,0
1,16,11,24,2024,30,8,0
1,16,11,24,2024,32,29,0
1,16,11,24,2024,24,3,0
1,17,12,1,2024,8,19,0
1,17,12,1,2024,10,6,0
1,17,12,1,2024,11,15,0
1,17,12,1,2024,14,21,0
1,17,12,1,2024,2,24,0
1,17,12,1,2024,3,22,0
1,17,12,1,2024,4,26,0
1,17,12,1,2024,5,28,0
1,17,12,1,2024,7,23,0
1,17,12,1,2024,13,32,0
1,17,12,1,2024,16,1,0
1,17,12,1,2024,17,12,0
1,17,12,1,2024,18,27,0
1,17,12,1,2024,20,25,0
1,17,12,1,2024,30,29,0
1,17,12,1,2024,9,31,0
1,18,12,8,2024,10,11,0
1,18,12,8,2024,1,25,0
1,18,12,8,2024,14,24,0
1,18,12,8,2024,15,20,0
1,18,12,8,2024,16,2,0
1,18,12,8,2024,19,18,0
1,18,12,8,2024,22,5,0
1,18,12,8,2024,23,31,0
1,18,12,8,2024,26,6,0
1,18,12,8,2024,27,4,0
1,18,12,8,2024,28,21,0
1,18,12,8,2024,29,13,0
1,18,12,8,2024,8,7,0
1,19,12,15,2024,26,27,0
1,19,12,15,2024,1,17,0
1,19,12,15,2024,5,8,0
1,19,12,15,2024,9,12,0
1,19,12,15,2024,10,4,0
1,19,12,15,2024,13,20,0
1,19,12,15,2024,18,30,0
1,19,12,15,2024,19,3,0
1,19,12,15,2024,22,23,0
1,19,12,15,2024,24,28,0
1,19,12,15,2024,25,11,0
1,19,12,15,2024,29,7,0
1,19,12,15,2024,31,14,0
1,19,12,15,2024,32,15,0
1,19,12,15,2024,16,6,0
1,19,12,15,2024,21,2,0
1,20,12,22,2024,7,31,0
1,20,12,22,2024,3,23,0
1,20,12,22,2024,14,32,0
1,20,12,22,2024,2,19,0
1,20,12,22,2024,4,17,0
1,20,12,22,2024,5,1,0
1,20,12,22,2024,6,10,0
1,20,12,22,2024,8,28,0
1,20,12,22,2024,12,29,0
1,20,12,22,2024,15,26,0
1,20,12,22,2024,20,27,0
1,20,12,22,2024,21,13,0
1,20,12,22,2024,24,9,0
1,20,12,22,2024,25,16,0
1,20,12,22,2024,30,22,0
1,20,12,22,2024,11,18,0
1,21,12,29,2024,23,14,0
1,21,12,29,2024,32,3,0
1,21,12,29,2024,6,25,0
1,21,12,29,2024,4,20,0
1,21,12,29,2024,7,9,0
1,21,12,29,2024,13,29,0
1,21,12,29,2024,16,11,0
1,21,12,29,2024,17,24,0
1,21,12,29,2024,18,21,0
1,21,12,29,2024,19,12,0
1,21,12,29,2024,22,8,0
1,21,12,29,2024,27,1,0
1,21,12,29,2024,28,5,0
1,21,12,29,2024,30,2,0
1,21,12,29,2024,31,15,0
1,21,12,29,2024,26,10,0
1,22,1,5,2025,1,26,0
1,22,1,5,2025,2,5,0
1,22,1,5,2025,3,31,0
1,22,1,5,2025,8,30,0
1,22,1,5,2025,9,14,0
1,22,1,5,2025,10,16,0
1,22,1,5,2025,11,6,0
1,22,1,5,2025,12,13,0
1,22,1,5,2025,17,4,0
1,22,1,5,2025,20,15,0
1,22,1,5,2025,21,24,0
1,22,1,5,2025,22,19,0
1,22,1,5,2025,23,7,0
1,22,1,5,2025,27,25,0
1,22,1,5,2025,28,18,0
1,22,1,5,2025,29,32,0
