LASTNAME,FIRSTNAME,BIRTHMONTH,BIRTHDAY,BIRTHYEAR,BIRTHCITY,CITYID,COLLEGE,COLLEGEID,TEAM,POSITION,POSITIONGROUP,OFFENSIVESTYLE,DEFENSIVESTYLE,PAYSCALE
Lake,Jimmy,12,17,1976,Walnut Creek_CA,2026,Eastern Washington,162,27,3,10,0,1,117
Lovett,Justin,1,8,1977,Dayton_OH,14128,Findlay,301,27,4,11,0,0,91
Bowles,Todd,11,18,1963,Elizabeth_NJ,12130,Temple,119,28,0,10,0,1,146
Canales,Dave,5,7,1981,Harbor City_CA,1467,Azusa Pacific,264,28,1,6,2,0,128
Rodgers,Kacy,6,24,1969,Humboldt_TN,17351,Tennessee,51,28,2,8,0,1,138
Goodwin,Harold,11,14,1973,Columbia_SC,16700,Michigan,27,28,3,7,5,0,123
Piroli,Anthony,5,26,1985,Aliquippa_PA,15437,Indiana (PA),313,28,4,11,0,0,95
Vrabel,Mike,8,14,1975,Akron_OH,13953,Ohio State,38,29,0,9,0,2,74
Kelly,Tim,8,17,1986,Chicago Heights_IL,4553,Eastern Illinois,160,29,1,5,1,0,90
Bowen,Shane,12,9,1986,Pickerington_OH,14504,Georgia Tech,15,29,2,9,0,2,65
Williams,Terrell,6,19,1974,Los Angeles_CA,1594,East Carolina,84,29,3,8,0,2,95
Piraino,Frank,1,26,1980,Cleveland_OH,14092,Akron,67,29,4,11,0,0,95
Rivera,Ron,1,7,1962,Fort Ord_CA,1851,California,8,30,0,9,0,3,152
Bieniemy,Eric,8,15,1969,New Orleans_LA,7053,Colorado,10,30,1,4,1,0,152
Del Rio,Jack,4,4,1963,Castro Valley_CA,1277,Southern California,48,30,2,9,0,3,168
Kaczor,Nate,4,8,1967,Scott City_KS,6244,Utah State,127,30,3,7,2,0,91
Englehart,Chad,6,5,1981,New Orleans_LA,7053,Southeastern Louisiana,229,30,4,11,0,0,105
Stefanski,Kevin,5,8,1982,Philadelphia_PA,16242,Pennsylvania,211,31,0,3,1,0,74
Van Pelt,Alex,5,1,1970,Pittsburgh_PA,16249,Pittsburgh,44,31,1,3,1,0,140
Schwartz,Jim,6,2,1966,Halethorpe_MD,7731,Georgetown,168,31,2,9,0,3,180
Ventrone,Raymond,10,21,1982,Pittsburgh_PA,16249,Villanova,244,31,3,10,0,3,71
Jackson,Larry,10,7,1971,Rockdale_TX,18424,Texas A&M,53,31,4,11,0,0,99
Ryans,DeMeco,7,28,1984,Bessemer_AL,132,Alabama,1,32,0,9,0,4,58
Slowik,Bobby,6,9,1987,Princeton_NJ,12384,Michigan Tech,335,32,1,6,2,0,70
Burke,Matt,3,25,1976,Hudson_MA,7337,Dartmouth,152,32,2,9,0,4,102
Barrett,Danny,12,18,1961,Boynton Beach_FL,2632,Cincinnati,80,32,3,4,2,0,79
Eubanks,Mike,12,31,1980,Kansas City_KS,6100,Wisconsin - Eau Claire,660,32,4,11,0,0,91
