PLAYERID,LASTNAME,FIRSTNAME,TEAM,UNIFORM,HEIGHT,HANDSIZE,ARMLENGTH,WEIGHT,BIRTHMONTH,BIRTHDAY,BIRTHYEAR,BIRTHCITY,CITYID,COLLEGE,COLLEGEID,YEARENTRY,ROUNDDRAFTED,SELECTIONDRAFTED,SUPPLEMENTAL,ORIGINALTEAM,EXPERIENCE,YEARSIGNED,PLAYPERCENTAGE,HALLOFFAMEPOINTS,SALARYYEARS,SALARYYEAR1,BONUSYEAR1,SALARYYEAR2,BONUSYEAR2,SALARYYEAR3,BONUSYEAR3,SALARYYEAR4,BONUSYEAR4,SALARYYEAR5,BONUSYEAR5,OVERALLRATING,TOUCH,QUALITY,ARM_STRENGTH,SCRAMBLE,DECISIONS,ACCURACY,TIMING,SENSE_RUSH,READ_DEFENSE,TWO_MINUTE,FOOTWORK,IMPROVISATION,CONFIDENCE,SKILL_SPEED,HOLE_RECOGNITION,SECURE_HANDLING
516,Carr,Derek,18,4,743,91,314,214,3,28,1991,Bakersfield_CA,1188,Fresno State,88,2014,2,36,0,21,10,2023,85,500,3,121,1146,4000,1146,5000,1146,0,0,0,0,4,128,137,140,29,121,117,114,77,119,124,124,121,136,122,94,99
517,Garoppolo,Jimmy,27,11,742,92,310,225,11,2,1991,Arlington Heights_IL,4416,Eastern Illinois,160,2014,2,62,0,17,10,2024,31,600,1,108,197,0,0,0,0,0,0,0,0,1,106,130,70,60,98,105,162,120,94,119,105,112,90,83,96,121
518,Heinicke,Taylor,24,8,723,92,290,201,3,15,1993,Atlanta_GA,3023,Old Dominion,111,2015,0,0,0,16,9,2024,24,0,1,121,0,0,0,0,0,0,0,0,0,1,94,123,30,97,107,107,102,143,105,105,98,104,74,141,149,121
519,Mariota,Marcus,30,18,756,97,320,222,10,30,1993,Honolulu_HI,3529,Oregon,41,2015,1,2,0,29,9,2024,4,100,1,300,300,0,0,0,0,0,0,0,0,1,94,115,82,133,99,104,104,125,97,112,101,108,95,164,162,134
521,Winston,Jameis,31,5,756,93,320,231,1,6,1994,Bessemer_AL,132,Florida State,13,2015,1,1,0,28,9,2024,6,100,1,121,56,0,0,0,0,0,0,0,0,1,108,120,132,82,102,109,99,160,112,173,104,98,120,99,125,110
522,Allen,Brandon,26,17,733,87,312,212,9,5,1992,Fayetteville_AR,655,Arkansas,4,2016,6,201,0,13,7,2023,0,0,1,124,30,0,0,0,0,0,0,0,0,1,87,72,20,52,92,86,85,100,100,66,59,79,56,92,84,112
523,Brissett,Jacoby,17,7,756,96,322,236,12,11,1992,West Palm Beach_FL,2980,North Carolina State,35,2016,3,91,0,17,8,2024,4,100,1,288,500,0,0,0,0,0,0,0,0,1,102,132,126,109,114,114,113,98,107,110,101,114,122,113,120,141
524,Driskel,Jeff,30,16,760,96,334,234,4,23,1993,Oviedo_FL,2878,Louisiana Tech,97,2016,6,207,0,26,6,2024,4,0,1,113,0,0,0,0,0,0,0,0,0,1,63,58,56,117,103,71,82,198,95,104,71,97,82,148,152,172
525,Goff,Jared,10,16,760,90,326,215,10,14,1994,Novato_CA,1708,California,8,2016,1,1,0,27,8,2021,100,600,5,761,1960,1800,1460,5500,1460,4000,1460,4700,1460,5,169,169,120,29,145,156,133,128,143,147,135,131,129,105,96,106
526,Prescott,Dak,8,4,742,107,322,226,7,29,1993,Sulphur_LA,7140,Mississippi State,31,2016,4,135,0,8,8,2016,94,700,5,125,4213,4775,4213,4000,2801,4500,1700,5500,1700,6,187,167,125,75,176,179,167,210,168,203,221,196,117,141,166,175
528,Wentz,Carson,14,11,772,100,332,237,12,30,1992,Raleigh_NC,11173,North Dakota State,206,2016,1,2,0,22,8,2024,6,0,1,175,99,0,0,0,0,0,0,0,0,1,87,95,106,84,95,87,101,132,90,120,80,94,112,116,120,72
529,Beathard,C.J.,0,-1,741,93,305,219,11,16,1993,Nashville_TN,17445,Iowa,18,2017,3,104,0,26,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,82,91,5,105,95,83,95,71,108,124,76,66,52,99,116,107
530,Dobbs,Joshua,26,5,752,92,325,216,1,26,1995,Alpharetta_GA,3010,Tennessee,51,2017,4,135,0,23,7,2024,75,0,1,175,50,0,0,0,0,0,0,0,0,1,97,115,65,201,102,101,106,130,92,96,98,108,94,182,159,96
532,Mahomes,Patrick,14,15,741,92,332,225,9,17,1995,Tyler_TX,18585,Texas Tech,55,2017,1,10,0,14,7,2017,93,2000,5,1875,1826,5000,1626,5675,1191,5290,1191,2718,540,8,229,209,213,56,243,201,219,221,251,244,238,243,212,154,182,151
533,Mullens,Nick,16,12,727,91,302,199,3,21,1995,Little Rock_AR,750,Southern Mississippi,118,2017,0,0,0,26,5,2022,22,0,1,186,38,0,0,0,0,0,0,0,0,1,91,113,49,14,97,93,103,87,99,172,94,83,80,89,81,90
534,Peterman,Nathan,2,4,745,97,320,225,5,4,1994,Jacksonville_FL,2767,Pittsburgh,44,2017,5,171,0,4,7,2024,0,0,1,121,0,0,0,0,0,0,0,0,0,0,61,59,0,70,84,65,64,102,98,93,52,62,34,102,98,72
535,Rush,Cooper,8,10,745,91,323,229,11,21,1993,Charlotte_MI,8362,Central Michigan,78,2017,0,0,0,8,6,2020,6,0,1,225,63,0,0,0,0,0,0,0,0,1,106,122,67,9,111,97,104,87,111,114,83,91,90,83,67,121
537,Trubisky,Mitch,4,11,741,94,320,222,8,20,1994,Mentor_OH,14371,North Carolina,34,2017,1,2,0,6,7,2024,19,0,2,125,75,250,75,0,0,0,0,0,0,1,93,95,105,58,88,93,105,125,87,100,83,88,123,147,154,133
539,Watson,Deshaun,31,4,741,96,330,221,9,14,1995,Gainesville_GA,3183,Clemson,9,2017,1,12,0,32,7,2022,31,400,3,121,2673,4600,2694,4600,2694,0,0,0,0,2,106,125,152,149,107,113,111,183,95,146,116,119,155,145,164,145
541,Allen,Josh,4,17,767,101,332,237,5,21,1996,Firebaugh_CA,1405,Wyoming,130,2018,1,7,0,4,6,2018,97,700,5,913,2123,3950,2123,3850,1793,4000,946,4155,418,7,153,181,238,140,178,172,198,250,173,233,218,187,235,166,232,122
542,Allen,Kyle,23,4,752,93,295,210,3,8,1996,Scottsdale_AZ,1090,Houston,92,2018,0,0,0,5,5,2024,3,0,1,113,17,0,0,0,0,0,0,0,0,1,95,101,53,77,90,97,87,93,106,92,67,80,85,125,76,98
543,Boyle,Tim,15,14,754,95,330,230,10,3,1994,Hartford_CT,2412,Eastern Kentucky,161,2018,0,0,0,11,5,2024,11,0,1,113,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
544,Darnold,Sam,16,14,753,93,310,221,6,5,1997,Dana Point_CA,1341,Southern California,48,2018,1,3,0,20,6,2024,12,0,1,375,125,0,0,0,0,0,0,0,0,2,107,123,97,90,107,103,115,122,110,116,110,100,105,121,133,103
545,Jackson,Lamar,3,8,742,94,331,216,1,17,1997,Pompano Beach_FL,2905,Louisville,24,2018,1,32,0,3,6,2018,92,1000,4,1425,1815,2100,2265,5200,2265,5200,2265,0,0,7,218,220,162,247,238,189,240,248,236,184,232,238,168,230,252,191
547,Mayfield,Baker,28,6,725,92,302,215,4,14,1995,Austin_TX,17657,Oklahoma,39,2018,1,1,0,31,6,2023,100,100,3,113,578,3000,578,4000,578,0,0,0,0,2,118,150,174,70,129,120,139,130,123,227,124,128,183,134,129,112
551,Rudolph,Mason,29,11,765,91,323,235,7,17,1995,Rock Hill_SC,16875,Oklahoma State,40,2018,3,76,0,23,6,2024,19,0,1,139,135,0,0,0,0,0,0,0,0,1,112,113,71,14,110,114,83,102,106,112,59,95,91,90,103,152
553,White,Mike,4,14,765,94,317,224,3,25,1995,Pembroke Pines_FL,2895,Western Kentucky,128,2018,5,171,0,8,5,2024,5,0,1,113,0,0,0,0,0,0,0,0,0,0,109,127,80,0,108,111,85,88,103,192,97,104,98,65,55,94
554,Wolford,John,0,-1,714,95,291,200,10,16,1995,Dallas_TX,17861,Wake Forest,61,2018,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,95,39,87,96,91,78,111,93,115,84,91,63,122,136,140
555,Woodside,Logan,7,11,732,96,310,201,1,27,1995,Frankfort_KY,6474,Toledo,123,2018,7,249,0,7,4,2024,1,0,1,113,0,0,0,0,0,0,0,0,0,0,76,75,3,34,99,86,73,70,101,101,59,90,37,103,93,138
557,Browning,Jake,7,6,740,90,324,210,4,11,1996,Folsom_CA,1407,Washington,62,2019,0,0,0,16,1,2021,43,0,2,92,0,103,0,0,0,0,0,0,0,0,121,119,89,62,115,106,82,106,113,123,74,94,108,110,94,164
558,Grier,Will,22,13,744,93,314,217,4,3,1995,Davidson_NC,10878,West Virginia,64,2019,3,100,0,5,5,2024,0,0,1,113,0,0,0,0,0,0,0,0,0,0,73,69,63,49,81,75,83,112,88,124,80,81,88,114,113,103
560,Jones,Daniel,19,8,771,96,324,221,5,27,1997,Charlotte_NC,10832,Duke,11,2019,1,6,0,19,5,2019,30,100,3,3675,1111,3050,1111,4750,1111,0,0,0,0,1,119,136,94,135,100,119,103,114,112,158,100,101,100,157,199,94
561,Lock,Drew,19,2,756,90,324,228,11,10,1996,Columbia_MO,9715,Missouri,32,2019,2,42,0,9,5,2024,14,0,1,300,200,0,0,0,0,0,0,0,0,1,87,111,115,63,100,97,84,108,100,129,83,79,113,117,108,83
562,McSorley,Trace,0,-1,721,91,310,202,8,23,1995,Ashburn_VA,18847,Penn State,43,2019,6,197,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
563,Minshew,Gardner,21,15,727,101,316,225,5,16,1996,Flowood_MS,10330,Washington State,63,2019,6,178,0,13,5,2024,85,0,2,650,150,1250,150,0,0,0,0,0,0,2,112,144,80,101,115,123,106,149,116,172,121,117,86,121,117,106
564,Murray,Kyler,1,1,701,94,284,207,8,7,1997,Bedford_TX,17681,Oklahoma,39,2019,1,1,0,1,5,2019,48,100,5,3840,1072,3261,1301,4254,1301,3634,720,4635,0,3,119,112,127,139,118,108,123,174,104,90,124,117,132,214,212,175
565,Rypien,Brett,16,19,736,90,303,202,7,9,1996,Spokane_WA,19884,Boise State,73,2019,0,0,0,9,5,2024,7,0,1,113,0,0,0,0,0,0,0,0,0,0,82,76,41,20,91,94,81,100,104,76,91,81,76,101,91,85
566,Stick,Easton,24,2,732,92,321,224,9,15,1995,Omaha_NE,11705,North Dakota State,206,2019,5,166,0,24,5,2019,28,0,1,250,17,0,0,0,0,0,0,0,0,1,81,97,35,200,104,95,97,121,98,115,83,73,78,145,125,148
567,Stidham,Jarrett,9,8,743,91,320,215,8,8,1996,Corbin_KY,6404,Auburn,5,2019,4,133,0,17,4,2023,13,0,1,600,100,0,0,0,0,0,0,0,0,1,92,97,79,87,104,86,69,111,113,115,101,82,94,107,94,116
570,Burrow,Joe,7,9,755,90,307,221,12,10,1996,Ames_IA,3603,Louisiana State,23,2020,1,1,0,7,4,2020,55,600,5,1071,1900,2525,2100,2525,2300,2725,2500,3550,1800,5,246,227,81,90,224,234,118,212,224,211,168,222,106,124,162,124
572,DiNucci,Ben,0,-1,75,0,0,210,11,24,1996,Atlanta_GA,3023,James Madison,182,2020,7,231,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
573,Eason,Jacob,0,-1,777,94,327,231,11,17,1997,Lake Stevens_WA,19747,Washington,62,2020,4,122,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
574,Fromm,Jake,10,7,737,87,311,219,7,30,1998,Warner Robins_GA,3480,Georgia,14,2020,5,167,0,4,2,2024,0,0,1,99,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
575,Herbert,Justin,24,10,782,100,327,236,3,10,1998,Eugene_OR,15231,Oregon,41,2020,1,6,0,24,4,2020,72,300,5,600,1335,1500,2235,2400,2235,3600,2235,5200,1912,4,157,171,209,51,168,152,144,145,168,178,174,166,208,145,127,179
576,Huntley,Tyler,15,13,73,0,0,205,2,3,1998,Hollywood_FL,2750,Utah,57,2020,0,0,0,3,4,2024,8,100,1,113,0,0,0,0,0,0,0,0,0,0,96,116,76,170,96,93,96,135,104,116,89,106,87,149,113,116
577,Hurts,Jalen,22,1,730,96,316,223,8,7,1998,Houston_TX,18061,Oklahoma,39,2020,2,53,0,22,4,2020,96,200,5,113,1243,117,2060,122,3056,135,4049,140,4575,5,146,182,71,205,165,175,131,231,145,136,190,206,86,174,221,137
578,Love,Jordan,11,10,756,104,325,224,11,2,1998,Bakersfield_CA,1188,Utah State,127,2020,1,26,0,11,4,2020,99,0,5,400,1676,1300,1676,1150,2466,1150,3096,4500,2920,5,132,159,155,47,168,124,118,123,166,114,146,148,158,137,125,165
579,Luton,Jake,0,-1,781,103,316,224,4,11,1996,Marysville_WA,19771,Oregon State,42,2020,6,189,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
581,Perkins,Bryce,0,-1,75,0,0,215,12,20,1996,Chandler_AZ,955,Virginia,59,2020,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
583,Tagovailoa,Tua,15,1,720,100,304,217,3,2,1998,Ewa Beach_HI,3518,Alabama,1,2020,1,5,0,15,4,2020,95,100,5,113,840,5105,840,5500,840,3700,840,4940,840,6,213,194,83,66,182,210,186,139,194,140,119,176,102,129,129,181
584,Book,Ian,0,-1,720,97,312,206,3,30,1998,El Dorado Hills_CA,1375,Notre Dame,37,2021,4,133,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,69,22,132,56,70,77,106,53,85,56,88,56,121,117,127
585,Buechele,Shane,4,6,722,93,302,210,1,8,1998,Arlington_TX,17648,Southern Methodist,117,2021,0,0,0,14,2,2023,0,0,1,99,4,0,0,0,0,0,0,0,0,0,72,94,28,67,81,85,46,90,91,107,61,53,58,94,97,117
586,Ehlinger,Sam,12,4,731,96,303,222,9,30,1998,Austin_TX,17657,Texas,52,2021,6,218,0,12,3,2021,0,0,1,106,3,0,0,0,0,0,0,0,0,0,86,77,45,120,75,75,99,120,78,122,74,69,75,106,124,141
587,Fields,Justin,23,2,746,91,324,228,3,5,1999,Kennesaw_GA,3240,Ohio State,38,2021,1,11,0,6,3,2024,73,0,1,323,0,0,0,0,0,0,0,0,0,2,113,116,144,250,93,116,110,200,100,166,110,100,145,210,216,102
588,Jones,Mac,13,10,745,96,325,217,9,5,1998,Jacksonville_FL,2767,Alabama,1,2021,1,15,0,17,3,2024,60,0,1,279,0,0,0,0,0,0,0,0,0,1,134,114,68,62,118,111,106,95,114,114,97,110,87,132,117,177
589,Lance,Trey,8,19,757,91,314,224,5,9,2000,Marshall_MN,9324,North Dakota State,206,2021,1,3,0,26,3,2023,0,0,1,531,0,0,0,0,0,0,0,0,0,1,88,103,131,205,56,106,109,141,43,115,91,83,133,157,170,175
590,Lawrence,Trevor,13,16,775,100,314,213,10,6,1999,Knoxville_TN,17373,Clemson,9,2021,1,1,0,13,3,2021,90,100,5,150,1353,250,1450,250,2150,650,2850,1150,3550,3,119,118,156,76,128,121,110,168,117,117,118,128,143,154,158,148
591,Mills,Davis,32,10,756,94,313,225,10,21,1998,Atlanta_GA,3023,Stanford,49,2021,3,67,0,32,3,2021,5,0,2,225,130,385,101,0,0,0,0,0,0,1,103,105,94,49,111,98,97,86,117,110,66,93,102,96,90,115
592,Mond,Kellen,0,-1,745,93,334,211,6,22,1999,San Antonio_TX,18456,Texas A&M,53,2021,3,66,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
593,Rourke,Nathan,0,-1,712,86,305,203,5,24,1998,Victoria_BC,30291,Ohio,110,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
594,Trask,Kyle,28,2,772,101,330,236,3,6,1998,Manvel_TX,18210,Florida,12,2021,2,64,0,28,3,2021,0,0,1,141,35,0,0,0,0,0,0,0,0,1,90,106,53,53,83,91,84,94,101,107,83,68,74,59,113,128
595,Wilson,Zach,9,4,741,94,305,214,8,3,1999,Draper_UT,18686,Brigham Young,75,2021,1,2,0,20,3,2024,63,0,1,273,0,0,0,0,0,0,0,0,0,1,94,104,167,101,91,96,104,109,105,108,90,83,166,125,123,153
596,Brown,Anthony,0,-1,733,97,324,217,7,27,1998,Matawan_NJ,12270,Oregon,41,2022,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51,88,82,98,83,67,56,109,73,66,73,99,94,113,126,193
599,Corral,Matt,0,-1,735,95,306,212,1,31,1999,Ventura_CA,2018,Mississippi,30,2022,3,94,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
601,Garbers,Chase,0,-1,74,0,0,215,6,6,1999,Newport Beach_CA,1693,California,8,2022,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
602,Guarantano,Jarrett,0,-1,76,0,0,220,11,14,1997,Lodi_NJ,12247,Washington State,63,2022,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603,Howell,Sam,25,6,725,91,306,218,9,16,2000,Waynesville_NC,11309,North Carolina,34,2022,5,144,0,30,2,2024,96,0,2,99,0,110,0,0,0,0,0,0,0,1,111,126,144,141,86,114,94,125,93,139,97,91,158,123,132,153
606,Oladokun,Chris,0,-1,74,0,0,195,9,3,1997,Tampa_FL,2957,South Dakota State,227,2022,7,241,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,79,55,139,70,77,71,112,57,101,88,71,91,123,100,124
607,Perry,E.J.,0,-1,735,90,320,211,8,16,1998,Andover_MA,7183,Brown,139,2022,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
609,Pickett,Kenny,22,7,752,84,307,217,6,6,1998,Oakhurst_NJ,12335,Pittsburgh,44,2022,1,20,0,23,2,2024,62,0,2,198,0,262,0,0,0,0,0,0,0,1,123,142,92,137,124,125,113,122,122,111,104,112,97,119,144,70
611,Purdy,Brock,26,13,725,92,290,212,12,27,1999,Queen Creek_AZ,1067,Iowa State,19,2022,7,262,0,26,2,2022,88,100,2,99,2,110,2,0,0,0,0,0,0,5,199,208,57,63,163,183,122,124,189,92,149,132,91,101,119,136
612,Ridder,Desmond,1,19,753,100,326,211,8,31,1999,Louisville_KY,6582,Cincinnati,80,2022,3,74,0,2,2,2024,75,0,1,99,0,0,0,0,0,0,0,0,0,1,103,117,133,138,103,102,109,119,118,164,109,92,136,168,151,93
613,Thompson,Skylar,15,19,737,85,310,217,6,4,1997,Palmyra_MO,10036,Kansas State,21,2022,7,247,0,15,2,2022,0,0,2,99,2,110,2,0,0,0,0,0,0,0,84,113,97,38,98,97,100,115,104,93,84,98,104,101,110,93
614,Willis,Malik,11,2,724,94,316,219,5,25,1999,Riverdale_GA,3385,Liberty,187,2022,3,86,0,29,2,2024,2,0,2,117,0,141,0,0,0,0,0,0,0,2,77,83,163,250,50,82,110,131,46,164,92,56,160,180,174,170
615,Zappe,Bailey,14,19,724,96,313,215,4,26,1999,Victoria_TX,18598,Western Kentucky,128,2022,4,137,0,17,2,2024,40,0,1,99,0,0,0,0,0,0,0,0,0,1,98,104,66,6,101,108,91,89,110,106,90,86,85,99,109,160
616,Ahlers,Holton,0,-1,746,96,322,237,11,10,1999,Greenville_NC,10958,East Carolina,84,2023,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
617,Bagent,Tyson,6,17,751,94,301,213,6,8,2000,Martinsburg_WV,20788,Shepherd,376,2023,0,0,0,6,1,2023,27,0,2,92,1,103,1,0,0,0,0,0,0,0,67,85,81,25,88,75,86,106,93,113,83,90,101,107,88,117
618,Bennett,Stetson,27,13,713,100,287,192,10,28,1997,Atlanta_GA,3023,Georgia,14,2023,4,128,0,27,1,2023,0,0,3,92,17,103,17,115,17,0,0,0,0,1,93,80,56,48,96,95,100,117,95,104,90,93,81,133,119,91
619,Blackman,James,0,-1,772,94,330,189,11,14,1998,Belle Glade_FL,2620,Arkansas State,70,2023,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
622,Clifford,Sean,11,6,737,95,315,218,7,14,1998,Barrington_IL,4440,Penn State,43,2023,5,149,0,11,1,2023,1,0,1,92,0,0,0,0,0,0,0,0,0,0,61,97,51,113,79,75,77,112,83,95,77,84,85,136,107,121
623,Cunningham,Malik,3,12,717,94,313,192,10,6,1998,Montgomery_AL,374,Louisville,24,2023,0,0,0,17,1,2024,1,0,1,92,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
625,DeVito,Tommy,19,15,725,0,0,206,8,7,1998,Livingston_NJ,12246,Illinois,16,2023,0,0,0,19,1,2023,37,0,1,92,0,0,0,0,0,0,0,0,0,0,88,99,40,115,92,86,78,111,101,88,79,83,76,138,114,152
626,Duggan,Max,0,-1,734,97,303,207,3,12,2001,Council Bluffs_IA,3705,Texas Christian,54,2023,7,239,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,110,105,180,69,101,93,111,55,155,87,82,102,163,147,151
627,Haener,Jake,18,3,715,93,296,207,3,10,1999,Danville_CA,1342,Fresno State,88,2023,4,127,0,18,1,2023,0,0,3,92,18,103,18,115,18,0,0,0,0,1,95,101,69,52,101,88,98,105,104,115,83,81,91,118,109,140
628,Hall,Jaren,25,15,721,94,296,207,3,24,1998,Spanish Fork_UT,18807,Brigham Young,75,2023,5,164,0,16,1,2024,4,0,1,92,0,0,0,0,0,0,0,0,0,0,77,82,39,94,81,92,103,108,92,97,71,70,67,148,128,95
629,Henderson,Nolan,0,-1,730,0,0,195,6,26,1998,Smyrna_DE,2593,Delaware,155,2023,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
630,Hooker,Hendon,10,2,752,104,330,217,1,13,1998,Greensboro_NC,10957,Tennessee,51,2023,3,68,0,10,1,2023,0,0,3,101,29,127,29,153,29,0,0,0,0,1,116,107,116,250,72,105,122,150,56,92,82,99,117,155,193,82
631,Levis,Will,29,8,757,105,320,229,6,27,1999,Newton_MA,7407,Kentucky,22,2023,2,33,0,29,1,2023,51,0,3,118,98,162,98,205,98,0,0,0,0,2,94,98,184,193,117,111,94,106,114,144,91,104,185,111,140,120
632,Martinez,Adrian,20,15,736,95,311,221,12,7,1999,Fresno_CA,1424,Kansas State,21,2023,0,0,0,10,0,2024,0,0,1,80,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
633,McKee,Tanner,22,16,782,93,327,231,4,27,2000,Irvine_CA,1509,Stanford,49,2023,6,188,0,22,1,2023,0,0,3,92,5,103,5,115,5,0,0,0,0,0,80,81,80,61,95,73,72,76,102,111,92,76,89,90,106,95
