SEASON,WEEK,MONTH,DAY,YEAR,HOME,VISITOR,LOCATION
1,6,9,17,2023,29,24,0
1,6,9,17,2023,1,19,0
1,6,9,17,2023,27,26,0
1,6,9,17,2023,8,20,0
1,6,9,17,2023,9,30,0
1,6,9,17,2023,17,15,0
1,6,9,17,2023,5,18,0
1,6,9,17,2023,23,31,0
1,7,9,24,2023,26,19,0
1,7,9,24,2023,3,12,0
1,7,9,24,2023,31,29,0
1,7,9,24,2023,10,2,0
1,7,9,24,2023,11,18,0
1,7,9,24,2023,13,32,0
1,7,9,24,2023,15,9,0
1,7,9,24,2023,16,24,0
1,7,9,24,2023,20,17,0
1,7,9,24,2023,30,4,0
1,7,9,24,2023,25,5,0
1,7,9,24,2023,1,8,0
1,7,9,24,2023,14,6,0
1,7,9,24,2023,21,23,0
1,7,9,24,2023,28,22,0
1,7,9,24,2023,7,27,0
1,8,10,1,2023,11,10,0
1,8,10,1,2023,13,2,35570
1,8,10,1,2023,4,15,0
1,8,10,1,2023,5,16,0
1,8,10,1,2023,6,9,0
1,8,10,1,2023,31,3,0
1,8,10,1,2023,32,23,0
1,8,10,1,2023,12,27,0
1,8,10,1,2023,18,28,0
1,8,10,1,2023,22,30,0
1,8,10,1,2023,29,7,0
1,8,10,1,2023,24,21,0
1,8,10,1,2023,8,17,0
1,8,10,1,2023,26,1,0
1,8,10,1,2023,20,14,0
1,8,10,1,2023,19,25,0
1,9,10,8,2023,30,6,0
1,9,10,8,2023,4,13,35570
1,9,10,8,2023,2,32,0
1,9,10,8,2023,10,5,0
1,9,10,8,2023,12,29,0
1,9,10,8,2023,15,19,0
1,9,10,8,2023,17,18,0
1,9,10,8,2023,23,3,0
1,9,10,8,2023,1,7,0
1,9,10,8,2023,27,22,0
1,9,10,8,2023,9,20,0
1,9,10,8,2023,16,14,0
1,9,10,8,2023,26,8,0
1,9,10,8,2023,21,11,0
1,10,10,15,2023,14,9,0
1,10,10,15,2023,29,3,35570
1,10,10,15,2023,2,30,0
1,10,10,15,2023,6,16,0
1,10,10,15,2023,7,25,0
1,10,10,15,2023,31,26,0
1,10,10,15,2023,32,18,0
1,10,10,15,2023,13,12,0
1,10,10,15,2023,15,5,0
1,10,10,15,2023,28,10,0
1,10,10,15,2023,21,17,0
1,10,10,15,2023,27,1,0
1,10,10,15,2023,20,22,0
1,10,10,15,2023,4,19,0
1,10,10,15,2023,24,8,0
1,11,10,22,2023,18,13,0
1,11,10,22,2023,3,10,0
1,11,10,22,2023,6,21,0
1,11,10,22,2023,12,31,0
1,11,10,22,2023,17,4,0
1,11,10,22,2023,19,30,0
1,11,10,22,2023,28,2,0
1,11,10,22,2023,27,23,0
1,11,10,22,2023,25,1,0
1,11,10,22,2023,9,11,0
1,11,10,22,2023,14,24,0
1,11,10,22,2023,22,15,0
1,11,10,22,2023,16,26,0
1,12,10,29,2023,4,28,0
1,12,10,29,2023,5,32,0
1,12,10,29,2023,8,27,0
1,12,10,29,2023,11,16,0
1,12,10,29,2023,12,18,0
1,12,10,29,2023,15,17,0
1,12,10,29,2023,19,20,0
1,12,10,29,2023,23,13,0
1,12,10,29,2023,29,2,0
1,12,10,29,2023,30,22,0
1,12,10,29,2023,25,31,0
1,12,10,29,2023,1,3,0
1,12,10,29,2023,9,14,0
1,12,10,29,2023,26,7,0
1,12,10,29,2023,24,6,0
1,12,10,29,2023,10,21,0
1,13,11,5,2023,23,29,0
1,13,11,5,2023,14,15,40025
1,13,11,5,2023,2,16,0
1,13,11,5,2023,3,25,0
1,13,11,5,2023,31,1,0
1,13,11,5,2023,11,27,0
1,13,11,5,2023,32,28,0
1,13,11,5,2023,17,30,0
1,13,11,5,2023,18,6,0
1,13,11,5,2023,5,12,0
1,13,11,5,2023,21,19,0
1,13,11,5,2023,22,8,0
1,13,11,5,2023,7,4,0
1,13,11,5,2023,20,24,0
1,14,11,12,2023,6,5,0
1,14,11,12,2023,17,12,40025
1,14,11,12,2023,3,31,0
1,14,11,12,2023,7,32,0
1,14,11,12,2023,13,26,0
1,14,11,12,2023,16,18,0
1,14,11,12,2023,23,11,0
1,14,11,12,2023,28,29,0
1,14,11,12,2023,1,2,0
1,14,11,12,2023,24,10,0
1,14,11,12,2023,8,19,0
1,14,11,12,2023,25,30,0
1,14,11,12,2023,21,20,0
1,14,11,12,2023,4,9,0
1,15,11,19,2023,3,7,0
1,15,11,19,2023,5,8,0
1,15,11,19,2023,31,23,0
1,15,11,19,2023,10,6,0
1,15,11,19,2023,11,24,0
1,15,11,19,2023,32,1,0
1,15,11,19,2023,13,29,0
1,15,11,19,2023,15,21,0
1,15,11,19,2023,30,19,0
1,15,11,19,2023,26,28,0
1,15,11,19,2023,4,20,0
1,15,11,19,2023,27,25,0
1,15,11,19,2023,9,16,0
1,15,11,19,2023,14,22,0
1,16,11,26,2023,10,11,0
1,16,11,26,2023,8,30,0
1,16,11,26,2023,25,26,0
1,16,11,26,2023,20,15,0
1,16,11,26,2023,2,18,0
1,16,11,26,2023,7,23,0
1,16,11,26,2023,32,13,0
1,16,11,26,2023,12,28,0
1,16,11,26,2023,19,17,0
1,16,11,26,2023,29,5,0
1,16,11,26,2023,1,27,0
1,16,11,26,2023,9,31,0
1,16,11,26,2023,21,14,0
1,16,11,26,2023,22,4,0
1,16,11,26,2023,24,3,0
1,16,11,26,2023,16,6,0
1,17,12,3,2023,8,25,0
1,17,12,3,2023,17,24,0
1,17,12,3,2023,18,10,0
1,17,12,3,2023,20,2,0
1,17,12,3,2023,23,1,0
1,17,12,3,2023,28,5,0
1,17,12,3,2023,29,12,0
1,17,12,3,2023,30,15,0
1,17,12,3,2023,32,9,0
1,17,12,3,2023,27,31,0
1,17,12,3,2023,22,26,0
1,17,12,3,2023,11,14,0
1,17,12,3,2023,13,7,0
1,18,12,10,2023,23,17,0
1,18,12,10,2023,2,28,0
1,18,12,10,2023,3,27,0
1,18,12,10,2023,6,10,0
1,18,12,10,2023,7,12,0
1,18,12,10,2023,31,13,0
1,18,12,10,2023,18,5,0
1,18,12,10,2023,20,32,0
1,18,12,10,2023,21,16,0
1,18,12,10,2023,26,25,0
1,18,12,10,2023,14,4,0
1,18,12,10,2023,24,9,0
1,18,12,10,2023,8,22,0
1,18,12,10,2023,15,29,0
1,18,12,10,2023,19,11,0
1,19,12,17,2023,21,24,0
1,19,12,17,2023,5,2,0
1,19,12,17,2023,7,16,0
1,19,12,17,2023,31,6,0
1,19,12,17,2023,10,9,0
1,19,12,17,2023,12,23,0
1,19,12,17,2023,11,28,0
1,19,12,17,2023,15,20,0
1,19,12,17,2023,18,19,0
1,19,12,17,2023,29,32,0
1,19,12,17,2023,1,26,0
1,19,12,17,2023,27,30,0
1,19,12,17,2023,4,8,0
1,19,12,17,2023,25,22,0
1,19,12,17,2023,13,3,0
1,19,12,17,2023,17,14,0
1,20,12,24,2023,27,18,0
1,20,12,24,2023,23,7,0
1,20,12,24,2023,24,4,0
1,20,12,24,2023,2,12,0
1,20,12,24,2023,5,11,0
1,20,12,24,2023,32,31,0
1,20,12,24,2023,16,10,0
1,20,12,24,2023,20,30,0
1,20,12,24,2023,29,25,0
1,20,12,24,2023,28,13,0
1,20,12,24,2023,6,1,0
1,20,12,24,2023,15,8,0
1,20,12,24,2023,9,17,0
1,20,12,24,2023,14,21,0
1,20,12,24,2023,22,19,0
1,20,12,24,2023,26,3,0
1,21,12,31,2023,31,20,0
1,21,12,31,2023,8,10,0
1,21,12,31,2023,3,15,0
1,21,12,31,2023,4,17,0
1,21,12,31,2023,6,2,0
1,21,12,31,2023,32,29,0
1,21,12,31,2023,12,21,0
1,21,12,31,2023,13,5,0
1,21,12,31,2023,19,27,0
1,21,12,31,2023,22,1,0
1,21,12,31,2023,28,18,0
1,21,12,31,2023,30,26,0
1,21,12,31,2023,25,23,0
1,21,12,31,2023,9,24,0
1,21,12,31,2023,14,7,0
1,21,12,31,2023,16,11,0
1,22,1,7,2024,1,25,0
1,22,1,7,2024,3,23,0
1,22,1,7,2024,5,28,0
1,22,1,7,2024,7,31,0
1,22,1,7,2024,10,16,0
1,22,1,7,2024,11,6,0
1,22,1,7,2024,12,32,0
1,22,1,7,2024,24,14,0
1,22,1,7,2024,21,9,0
1,22,1,7,2024,15,4,0
1,22,1,7,2024,17,20,0
1,22,1,7,2024,18,2,0
1,22,1,7,2024,19,22,0
1,22,1,7,2024,26,27,0
1,22,1,7,2024,29,13,0
1,22,1,7,2024,30,8,0
